persuade |  v. 说服 vt. 劝说,说服
underprivileged |  adj. 贫穷的
unjustifiable |  adj. 不合道理的, 不能认为是正当的, 不能分辩的
unlawful |  adj. 非法的, 私生的
vaccine |  n. 疫苗
vegetarianism |  n. 素食主义
veterinarian |  n. 兽医
extensive |  adj. 广泛的,广阔的
substitute |  n. 代替者,代用品 // v. 代替 // vi. (for)代替 // vt. 用...代替,代以
substitution |  n. 代理,替换,交换
exemplify |  vt. 例证,例示
exemplification |  n. 范例, 举例, 例证
demonstrate |  vt. 示范, 演示, 证明 // vi. 示威
illustrate |  vt. 举例说明,作图解 // vi. 举例
minimal |  adj. 最低限度的,最小的
minimalist |  adj.极简抽象艺术的，极简抽象风格的； 最低必须限度的 // n.极简抽象派艺术家，极简派音乐家； 保守派
maximum |  n. 极点, 最大量, 极大 // adj. 最高的, 最大极限的
exclude |  vt. 除外,排除,拒绝 // [计算机] 排除
exclusion |  n. 排除,除外,逐出
exclusive |  adj. 独占的, 唯一的, 排外的; 高价的, 时髦的 // [计算机] 互斥的 // n. 独家新闻, 独权
tradition |  n. 传统, 惯例
traditional |  adj. 传统的
resume |  v. 再继续, 重新开始 // n. 简历, 履历; 摘要
resumption |  n. 恢复(再取回)
retain |  vt. 保持, 保留; 记住
disqualify |  vt. 使...丧失资格
mechanism |  n. 机制,原理，机械,机构,结构
hive |  n. 蜂房, 蜂箱，蜂群，喧闹繁忙的场所 // vi.蜂进入蜂箱，聚居 // vt.使蜂入箱，储备
honey |  adj. 蜂蜜似的,深爱的 // n. (复数)蜂蜜,宝贝,爱人 // vt. 加蜜使甜,对...说甜言蜜语 // vi. 说甜言蜜语,奉承
beeswax |  n. 蜂蜡
drone |  n. 雄蜂, 游手好闲者, 嗡嗡声，无人驾驶飞机（或艇等），单调的低音 // vi. 发出嗡嗡的声音, 混日子 // vt. 单调低沉地说，过着单调无聊的日子
worker bee |  工蜂
offspring |  n. 子孙, 后代, 产物
combustion |  n. 燃烧
immune |  adj. 免除的,免疫的 // n. 免疫者
resistant |  adj. 抵抗的,反抗的 // n. 抵抗者
invulnerable |  adj. 固若金汤的, 无法伤害的
susceptible |  n. 易受影响者,易受感染者 // adj. 易受影响的,易感动的,容许
liable |  adj. 有义务的,应负责的,有...倾向
violence |  n. 暴力,狂热
advocacy |  n. 拥护, 支持, 鼓吹
maintenance |  n. 维护, 保持, 维修, 生活费用 // n. 供给, 抚养; 主张
comb |  n. 梳子,梳状物,鸡冠,蜂巢 // vt. 梳理,清理,搜查,用梳子 // vi. 搜寻
spasm |  n. 抽筋, 痉挛，（动作，感情等的）一阵发作
integrate |  v. 整合, 使...成整体
integration |  n. 综合, 集成, 同化
distribution |  n. 分发, 分配, 散布, 分布
parallel |  adj. 平行的,相同的,类似的,并联的 // adv. 平行地 // n. 平行线(面),相似物,对比 // vt. 相比,相应,与...平行
longitude |  n. 经度
woof |  n. 纬线，织物 // n. （狗的）低吠声 // vi. 狗吠
horizon |  n. 地平线；视野；眼界
vertical |  adj. 垂直的,顶点的,纵向的 // n. 垂直物, 垂直的位置
enforce |  vt. 加强, 强迫, 执行
enforcement |  n. 厉行, 执行, 强制
enforceable |  adj. 可实施的
consumption |  n. 消费
disharmony |  n. 失调, 不一致, 不和谐
lethal |  adj. 致命的,毁灭性的,有效的 // n. 基因异常,致死基因
estimate |  n. 估计, 估价 // v. 估计, 估价, 评价
underestimate |  n. 低估 // v. 低估
estimation |  n. 判断, 估计, 尊重
overestimate |  vt. 过高评价, 过高出价 // n. 估计过高, 评价过高, 出价过高
stainless |  adj. 无瑕疵的, 不锈的
annoy |  vt. &vi. 使...苦恼,骚扰, 使生气
annoying |  adj. 恼人的,讨厌的
annoyance |  n. 烦恼, 生气, 令人讨厌的人或事情
annoyed |  adj. 烦闷的
cereal |  adj. 谷类(的),谷物(的) // n. 谷类食物
glide |  n. 滑动, 滑过, 流水 // v. 滑动, 滑翔, 溜走
glider |  n. 滑翔机，助滑器，滑翔导弹
gliding |  v. 滑翔 // adj. 滑动的
slide |  n. 滑,幻灯片,雪崩,山崩,滑坡,滑梯 // vt. 使滑 // vi. 滑,跌落
slip |  vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差 // vt.使顺利滑动； 摆脱； 放松，松开 // n.跌倒，失足； 纸条； 失误，口误； 事故 // adj.滑动的； 可拆卸的； 打有活结的
fault |  n. 故障,过失,缺点 // vt.&vi. 挑剔,指责，发现错误, 断裂
commitment |  n. 委托,实行,承诺,保证(律）拘禁令，奉献，献身
aborigine |  n. 土著居民
allergy |  n. 敏感症,反感,厌恶
athletics |  n. 体育运动，田径
breeding |  n. 生养，教养，抚养，繁殖，血统，育种 // breed的现在分词
bushfire |  n. 林区大火
carnivore |  n. 食肉动物
circulatory |  adj. 循环的，循环系统的
claw |  n. 爪,钳,螯,爪状物 // vt. &vi. 抓,撕
consultation |  n. 请教,谘询,协议会
contamination |  n. 污染,污染物
coronary |  adj. 冠状的, 冠状动脉或静脉的，心脏的 // n.冠状动脉或静脉，冠状动脉血栓形成，心脏病发作
corpulence |  n. 肥胖, 臃肿
cub |  n. 幼兽, 年轻人
deadly |  adj. 致命的, 致死的 // adv. 非常地, 如死一般地
dieter |  n. 节食者
digestion |  n. 消化, 吸收，领悟 // [生]细菌分解
digestive |  adj. 消化的，有助消化的 // n. 消化药
disability |  n. 无力, 无能, 残疾
eucalyptus |  n. 桉树
expectancy |  n. 期待(公算)
feral |  adj. 野生的,凶猛的
fibrous |  adj. 纤维的, 纤维性的
forelimb |  n. 前肢, 上肢
forestry |  n. 林产, 森林地
fruitarian |  n. 常食水果的人，果食主义者
gum |  n. 树胶,橡皮(糖),齿龈,粘性物质,牙床 // vt. 搞砸,用牙床嚼,以树胶粘合 // vi. 形成胶质,发粘
herbivorous |  adj. 食草的
heredity |  n. 遗传, 传统, 遗传特征
heroin |  n. 海洛因
hormone |  n. 荷尔蒙, 激素
hypertension |  n. 高血压, 过度紧张
inactivity |  n. 不活动, 迟钝
inbreeding |  n. 同系繁殖, 近亲交配 // 动词inbreed的现在分词形式
incidence |  n. 发生(率),入射
incisor |  n. 门牙
insomnia |  n. 失眠(症)
joey |  n. 幼兽(尤指幼袋鼠)
jogging |  n. 慢跑
junk |  n. 垃圾,废旧杂物,中国平底帆船 // vt. 丢弃
koala |  n. 考拉，树袋熊
mammal |  n. 哺乳动物
medication |  n. 药物治疗, 药物处理, 医药
metabolism |  n. 新陈代谢
migratory |  adj. 迁移的, 流浪的
monodrama |  n. 独角戏
morally |  adv. 道德上地，道义上地
mortality |  n. 必死的命运,死亡数目,死亡率
nocturnal |  adj. 夜的 // n. 夜间时刻测定器
offender |  n. 罪犯, 冒犯者
palm |  n. 手掌, 棕榈树 // vt. 把...藏于手中, 用手掌击(球)
pediatrician |  n. 小儿科医师,
pelt |  n. 皮毛，投掷, 疾行 // vt. 剥去皮毛，（连续）投掷 // vi. 猛击，大步走
perpetrate |  vt. 做（坏事）, 犯(罪)
perpetrator |  n. 犯人, 作恶之人
physique |  n. 体格，体形
plague |  n. 瘟疫, 麻烦, 灾祸 // vt. 折磨, 烦扰, 造成麻烦
pneumonia |  n. 肺炎
pouch |  n. 小袋,小包,囊状袋 // vt. 装...入袋中, 用袋运输 // vi. 用袋送信件
pregnancy |  n. 怀孕
prevention |  n. 阻止, 妨碍, 预防
proper |  adj. 适当的,正确的,合适的,正当的,规矩的
protest |  n. 抗议, 反对, 抗议书 // vi. 反对,抗议,断言 // vt. 坚持地表示, 对...提出异议
punishment |  n. 惩罚
python |  n. 丹舌,大蟒,巨蟒
Queensland |  n. 昆士兰州(澳大利亚)
rationalization |  n. 合理化
relaxation |  n. 松弛,放松,减轻
respiratory |  adj. 呼吸的
retaliate |  v. 报复, 报仇, 回敬
risky |  adj. 危险的(冒险的, 大胆的)
robbery |  n. 抢劫
sensitivity |  n. 敏感, 多愁善感, 感受性
shin |  n. 胫骨 // v. 攀爬, 快步走，踢或打在…的胫骨上
spoiled |  adj. 宠坏的 // 动词spoil的过去式和过去分词形式
stamina |  n. 持久力;耐力;毅力
territorial |  adj. 领土的, 土地的, 地方的 // n. 地方自卫队的士兵
theft |  n. 偷窃
trustful |  adj. 相信的, 信任的
unwed |  adj. 未婚的
upbringing |  n. 教养
vengeance |  n. 报复, 报仇, 复仇
yoga |  n. 瑜珈
coverage |  n. 涉及范围(如保险范围或储备金额)，涂层，新闻覆盖率
headline |  n. (pl.)新闻提要, 大字标题
front page |  头版,重要的
journalist |  n. 记者, 新闻工作者
mass media |  n. 大众传播媒体，海量媒体数据，新闻界
press conference |  记者招待会
news broadcast |  新闻广播
severe |  adj. 剧烈的, 严重的, 严峻的, 严厉的, 严格的
severity |  n. 严格, 严重, 激烈
concentration |  n. 集中, 专心, 浓度
deposit |  vt. 存放, 堆积, 使沉淀 // vi. 沉淀 // n. 存款, 定金, 堆积物
deposition |  n. 沉积作用(沉积物, 矿床)； <律>(在法庭上的)宣誓作证;证词,证言
depositor |  n. 寄托者,存款人
depository |  n. 存储处, 贮藏所, 受托者
priority |  n. 优先权, 优先顺序, 优先
suffer |  vt. 遭受,忍受,允许 // vi. 忍受,经历
envisage |  vt. 想像，设想; 正视，面对; 观察，展望
solar |  adj. 太阳的,太阳能的
bubble |  n. 泡沫, 气泡, 幻想, 骗局, 欢乐 // vi. 起泡, 出现, 洋溢 // vt. 使冒泡
abandon |  n. 放纵 // vt. 放弃,遗弃,沉溺
abandoned |  adj. 被抛弃的,无约束的
abandonment |  n. 放弃, 自暴自弃, 放纵
conviction |  n. 定罪, 信服, 坚信
dynamic |  adj. 动态的, (有)动力的, (有)力的; 有活力的 // n. 动力; 力学
diagnose |  v. 诊断 // vi. 判断,诊断(疾病) // vt. 诊断(疾病)
diagnosis |  n. 诊断
symptom |  n. 症状, 征兆
clinic |  n. 诊所,门诊部,科室
allergy |  n. 敏感症,反感,厌恶
antibiotic |  adj. 抗菌的 // n. 抗生素
case history |  n. 病历，个人历史
thrive |  vi. 兴旺,繁荣
distinct |  adj. (from)独特的,不同的,明显的,清楚的
license |  n. 批准,许可证,特许 // vt. 允许,特许
methane |  n. 甲烷
restrict |  v. 限制,约束
disclose |  vt. 揭露
inhabitant |  n. 居民
dormant |  adj. 睡眠状态的, 静止的 // [计算机] 静止的
illusion |  n. 幻觉,错觉,错误的信仰(或观念)
spine |  n. 背骨, 脊柱, 尖刺
association |  n. 联合,结合,交往,协会,社团,联想
conversion |  n. 转变, 改变信仰, 换位
attempt |  vt.试图； 尝试 // n.进攻； 尝试，冲击
humidity |  n. 湿度, 湿气
transparent |  adj. 透明的, 明显的, 清晰的
brand |  n. 燃烧的木条,剑,商标,牌子,烙印,类型 // vt. 打烙印,污蔑,铭记
justify |  vt. 替...辩护,证明...正当 // n. 对齐 // [计算机] 调整
intense |  adj. 非常的,强烈的,紧张的,热情的
expectation |  n. 期待,期望 // v. 期待,前程
scare |  vt. 惊吓(惊恐,惊慌) // vi. 受惊吓 // n. 惊吓(惊恐,惊慌)
disturb |  vt. &vi. 扰乱,妨碍,使...不安
foresee |  v. 预见, 预知
acute |  adj.尖的，锐的； 敏锐的，敏感的； 严重的，剧烈的； [医]急性的, 激烈的, 尖锐的
agribusiness |  n. 农业综合企业
alga |  n. 海藻，水藻
anchovy |  n. 凤尾鱼
angler |  n. 钓鱼者，琵琶鱼
aquaculture |  n. 水产业, 水产养殖
aquatic |  n. 水生动物, 水草 // adj. 水生的, 水中的, 水上的
auditory |  adj. 听觉的 // n. 观众，观众席
bait |  n. 饵,引诱 // vt. 嘲笑,纵犬攻击,以饵引诱,放饵
baleen |  n. 鲸须
blowhole |  n. 喷水孔, 通风孔, 通气孔
blubber |  n. 鲸脂，鲸油；啜泣，哽咽  vt. 哭诉  vi. 哽咽  a. 肿大的，肥厚
bowhead |  n.【动物】弓头鲸,北极露脊鲸
buzz |  n. 嗡嗡声 // vi. 发出嗡嗡声,充满,匆忙 // vt. 飞进,使嗡嗡叫
cavity |  n. 洞, 空穴, 腔
cetacean |  adj. 鲸的, 鲸类的 // n. 鲸目生物
chum |  n. 密友, 室友 // n. 鱼饵 // vi. 结为密友 // v. 用鱼饵钓鱼
climatic |  adj. 气候上的
cod |  n. 鳕鱼 // v. 哄骗, 愚弄
compass |  n. 指南针,圆规 // vt. 图谋,包围,达成
dorado |  n. 剑鱼, 旗鱼
downstream |  adv. 下游地 // adj. 下游的
echolocation |  n. 回声定位法
entangle |  vt. 使...纠缠, 使...复杂，卷入, 使...混乱
estuary |  n. 河口, 江口
fishery |  n. 渔场(渔业)
frequency |  n.&amp;adj. 频繁,频率
geomagnetic |  adj. 地磁气的
hatchery |  n. 孵卵所
headwater |  n. 上游(河源)
humpback |  n. 驼背, 座头鲸, 小鲑鱼
logging |  n. 砍伐 // 动词log的现在分词
migration |  n. 移民,移往,移动
olfactory |  adj. 嗅觉的
predation |  掠夺行为
restoration |  n. 恢复, 归还, 复位
riparian |  adj. 河岸的, 生于河岸的
sac |  n. 囊, 液囊
salmon |  adj. 橙红色的 // n. 鲑,大马哈鱼
salvation |  n. 得救,拯救,赎罪
sardine |  n. 沙丁鱼
sedimentation |  n. 沉淀，沉降
spawn |  n. 卵,产物,后代,结果 // vt. 产卵,种菌丝于,产生,造成 // vi. 产卵,大量生产
topography |  n. 地志, 地形学, 地势，剖析图
trout |  n. 鳟鱼，鳟鱼肉
upstream |  adj. 逆流而上的 // adv. 向上游, 逆流地
vernacular |  n. 本地话, 方言，（动植物的）俗名 // adj. 地方的, 地方语的，白话的
feedback |  n. 反馈,成果
postgraduate |  n. 研究生 // adj. 大学毕业后的
skeptical |  adj. 怀疑的
censor |  n. 检查员, 潜意识的抑制,为Freud学派的术语 // v. 检查
eruption |  n. 爆发,喷发，出疹，长牙
toxin |  n. 毒素, 毒质
alienation |  n. 疏远,离间,让渡,[哲]异化
deplete |  vt. 耗尽,使...空竭
depletion |  n. 消耗,罄尽,放血
addition |  n. 增加,附加物,加,加法
sulphuric acid |  n. 硫酸
dome |  n. 圆屋顶
grip |  n.  紧握,了解,手柄,手提包 // vt. 紧抓,吸引
minority |  n. 少数, 少数民族, 未成年
linguistic |  adj. 语言的, 语言学的
supply |  n. 补给,供给,供应，贮备 // vt. 补给,供给,提供,提供足够以满足
costume |  n. 服装,剧装 // vt. 提供服装, 为...设计服装 // adj. 服装打扮的
monitor |  n. 监督器, 班长, 监听员, [计算机]显示器, 监视器 // v. 监视, 监听, 监督
ignorant |  adj. 不知道的, 无知的, 愚昧的
ignorance |  n. 无知
scope |  n. 能力，范围，眼界，机会，余地 // vt. 仔细研究
tropical |  adj. 热带的, 炎热的, 热带植物的
entitle |  v. 取名为,给与名称,叫做,使有权利
exclusively |  adv. 排他地(独占地,专门地,仅仅,只)
compete |  v. 竞争, 对抗
enrolment |  n. 登记,招收，入学
comment |  n. 注释, 评论; 闲话 // v. 注释, 评论
digest |  n. 摘要 // vt. 消化,理解 // vi. 消化
accessible |  adj. 可得到的, 易接近的, 可进入的
crisis |  n. 危急关头,危机
device |  n. 装置, 设计, 策略, 设备
essential |  adj.基本的； 必要的； 本质的； 精华的 // n.必需品； 基本要素； 必不可少的东西
competent |  adj. 有能力的,胜任的,足够的
sufficient |  adj. 足够的, 充分的
inefficient |  adj. 无效率的, 无能的，不称职的
draft |  n. 草稿,草图,汇票，徵兵 // vt. 起草,征兵,选秀 // adj. 酝酿中的
longitudinal |  adj. 经线的, 纵向的, 长久的
uniform |  adj. 一致的,统一的 // n. 制服 // vt. 穿制服
link |  n. 环节,联系, (链的)环, 圈 // vt. &vi. 连接,联系
urge |  n. 冲动 // vt. 驱策,鼓励,力陈,催促 // vi. 极力主张
career |  n. 生涯, 职业, 事业 // vi. 猛冲, 飞跑 // vt. 在...中急行
aerodynamics |  n. 空气动力学,气体力学
aeronautical |  adj. 航空的，航空导航用的
aggregation |  n. 集合, 聚合, 集合体
anterior |  adj.前面的，前部的，较早的
apiculture |  n. 养蜂业
appendage |  n. 附加物, 附属肢体
arthropod |  n. 节肢动物 // adj. 节肢动物的
biomechanics |  n. 生物力学
crustacean |  n. 甲壳类动物 // adj. 甲壳纲的
cypress |  n. 丝柏, 丝柏木
diapause |  n. [生]滞育(昆虫生长的停滞期), 间歇期
dorsal |  adj. (动物）背的, 背部的, 背侧的 // =dossal
drosophila |  n. 果蝇
embryology |  n. 胚胎学，发生学
epithelial |  adj. 上皮的
exoskeleton |  n. [动]外骨骼，皮骨骼
fir |  n. 枞树, 枞木
gill |  n. 鳃, 及耳(液量单位） // vt. 用刺网捕鱼 // vi. 被缠在刺网中
gradient |  n. 倾斜度,坡度,升降率 // adj. 倾斜的,步行的,步行态的
horsefly |  n. 马蝇
hover |  vi. 盘旋,翱翔,徘徊 // n. 盘旋,翱翔,徘徊
imbibe |  v. 饮, 吸取, 吸入
inhospitable |  adj. 不好客的，不适于居住的
larval |  adj. 幼虫的, 幼虫状态的
manatee |  n. 海牛
market value |  n. [商](有别于帐面价值的)市场价值，市价
mating |  n.交配  // 动词mate的现在分词
monarch |  n. 帝王, 统治者, 元首/nn. 君王斑点蝶
morphology |  n. 形态学，语形论，形态论
nectar |  n. 花蜜, 甜美的饮料，众神饮用的酒
paleontology |  n. 古生物学
propeller |  n. 螺旋桨, 推进器 // =propellor
pupa |  n. 蛹
ranch |  n. 牧场
reproductive organ |  生殖器
skeleton |  n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑 // adj. 骨骼的
suspension |  n. 悬挂,悬浮液,暂缓,未决,中止
taste bud |  n. 味蕾
taxon |  n. [生]分类单元
terrestrial |  adj. 地球的；陆地的，[生物] 陆生的；人间的 // n. 陆地生物；地球上的人
trawler |  n. 拖捞船, 拖网捕鱼者
tropical rainforest |  热带雨林
tuna |  n. 金枪鱼
underbrush |  n. 矮树丛
ventral |  adj. 腹部的
walrus |  n. 海象
wingspan |  n. 翼幅，翼展
poison |  n. 毒药,败坏道德之事,毒害 // vt. 毒害,摧毁,中毒 // adj. 有毒的
spectrum |  n. 光谱, （比喻）范围, 系列
immigrant |  n. 移民, 侨民 // adj. 移民的
release |  n. 释放, 让渡, 发行 // vt. 释放, 让与, 准予发表, 发射
accomplish |  vt. 完成
ecosystem |  n. 生态系统
sincere |  adj. 真诚的, 诚挚的
environment |  n. 环境,外界
ideal |  adj. 理想的, 完美的, 高尚的 // n. 理想, 典范, 目标
comprise |  vt. 包含,构成
anecdotal |  adj. 逸话的, 多逸事趣闻的, 轶事一样的
blame |  n. 过失,责备 // vt.把...归咎于,责备
vertebrate |  adj. 脊椎的，脊椎动物的 // n. 脊椎动物
privacy |  n. 隐私, 隐居, 秘密
allocate |  v. 分派, 分配, 分配额
antiquity |  n. 高龄, 古老, 古物, 古迹
cosset |  n. 亲手饲养的小动物,宠儿 // v. 宠爱,珍爱,溺爱
interact |  vi. 相互作用,相互影响
emit |  v. 发出,放射,吐露 // [计算机] 发射
astray |  adv. 迷途地 // adj. 迷途的, 误入歧途的
sensible |  adj. 可察觉的,意识到的,实用的 // n. 可感知物
duration |  n. 持续时间，期间
medium |  n. 媒体, 方法, 媒介 // adj. 适中的, 中等的
explore |  vt. &vi. 探险,探测,探究
specialty |  n. 专门,特别,特性,特产
inject |  v. 注射
mission |  n. 任务,代表团,使命,传教 // vt. 传教 // [计算机] 使命
photography |  n. 摄影术
lateral |  adj. 侧面的,横向的,旁边的 // n. 分流,后传,后音 // vi. 完成横向穿越
division |  n. 区分,分开,除法,公司,部门，师（军队里）
contemporary |  n. 同时代的人；同时期的东西 // adj. 当代的；同时代的；属于同一时期的
recommend |  vt. 建议, 推荐, 劝告 // vt. 使成为可取, 使受欢迎
clay |  n. 粘土,泥土
develop |  vt. 发展,开发,冲洗照片 // vi. 进步
latitude |  n. 纬度，界限,自由选择权
cruise |  n. 巡航,巡弋,漫游 // vi. 乘船游览,慢速行驶,巡行,猎艳 // vt. 巡游,猎艳
property |  n. 财产; 性质; 道具
aerodynamic |  adj. 空气动力的(气动的)
alphabet |  n. 字母表,基本原理(元素)，符号系统
anticoagulant |  adj. 抗凝的
antivenin |  抗蛇毒素 // 抗动物毒血清 // 抗蛇毒血清
baboon |  n. 狒狒
belly |  n. 腹部 // v. 膨胀
boa |  n. 蟒蛇，女用毛皮, 羽毛围巾
calibrate |  v. 测定口径, 查看刻度, 划刻度 校正
capybara |  n. [动]水豚(产于南美湖泊溪流间的啮齿动物)
charmer |  n. 魔术师，迷人的人
chimp |  n. (非洲)黑猩猩
cobra |  n. 眼镜蛇
concept |  n. 概念, 观念
constrictor |  n. 括约肌，大蟒，压缩物，压缩器
copperhead |  n. 铜斑蛇，南北战争时同情南方的北方人
dialysis |  n. 透析
envenom |  vt. 下毒, 使恶毒
epinephrine |  n. [生化]肾上腺素
ethnology |  n. 人种学，社会人类学
genotype |  n. 基因型，遗传型
geometric |  adj. 几何学的, 几何学上的, 几何学图形的
gorilla |  n. 大猩猩
grub |  n. [动]蛆，苦工 // n. &lt;非正式&gt;食物 // vt. 挖掘，翻掘 // vi. 挖掘，搜寻，做苦工
hippocampus |  n. （希腊神化中的）马头鱼尾的怪兽 // n. 海马，[解剖]（脑内的)海马状突起
hormonal |  adj. 荷尔蒙的, 激素的
hypotension |  n. 低血压
inheritance |  n. 遗传,遗产,继承,继承物
intravenous |  adj. 静脉的，静脉注射的
invertebrate |  n.&amp;adj. 无脊椎的(动物)
itch |  n. 痒, 渴望, 疥癣 // v. 使...痒, 渴望
laceration |  n. 撕裂, 裂口，锯齿状的伤口
linguist |  n. 语言学家
macaque |  n. 短尾猿，猕猴
navigational |  adj. 导航的，航行的
navigator |  n. 航海家，领航员
neurological |  adj. 神经病学的
neuromuscular |  adj.神经肌肉的
neurotoxic |  adj. 毒害神经的
numerical |  adj. 数字的, 用数字表示的
nutcracker |  n. 胡桃钳子 // n. 星鸟类
orangutan |  n. 猩猩
paralysis |  n. 瘫痪
parrot |  n. 鹦鹉, 盲目重复或模仿他人行为的人 // vt. 学舌, 盲目重复或模仿
pigeon |  n. 鸽子
plover |  n. 珩科鸟
polar light |  极光 // 偏光
poultry |  n. 家禽
prism |  n. 棱柱,棱镜，折光体
propolis |  n. 蜂胶
puzzle |  n. 难题,迷惑 // vt. 使困惑,解决 // vi. 迷惑,苦思
rattlesnake |  n. 响尾蛇
raven |  n. 大乌鸦 // adj. 乌黑的 // v. 掠夺
reptile |  adj. 爬虫类的 // n. 爬行动物
rhombus |  n. 菱形, 斜方形
rodent |  n. 啮齿动物 // adj. 啮齿目的
royal |  adj. 王室的,盛大的,极度的 // n. 贵族,顶帆
scout |  n. 童子军,侦察员, 守卫 // vt. 侦察, 物色人才 // vi. 寻找, 物色
shutdown |  n. 关机，停工
snakebite |  n. 蛇咬伤
sparrow |  n. 麻雀
swarm |  vi. 挤满；成群浮游；云集 // n. 蜂群；一大群 // vt. 挤满；爬
trauma |  n. 精神创伤,外伤
untangle |  vt. 解开纠结, 解开, 排解
venom |  n. 毒液,恶意
viper |  n. 毒蛇,毒蛇一样的家伙,阴险人 // 毒品
wingtip |  n. 翼尖
vegetarian |  n. 素食者 // adj. 素食的
recipe |  n. 食谱,处方,秘诀
adopt |  v. 采用, 收养, 接受
throughout |  adv. 到处, 自始至终 // prep. 遍及, 贯穿
optimism |  n.&amp;adj. 乐观,乐观主义
guilty |  adj. 有罪的, 内疚的
embrace |  n. 拥抱 // v. 拥抱,互相拥抱,包含
portable |  adj. 轻便的,手提式的 // n. 手提打字机
detrimental |  adj. 有害的 // n. 有害的人或事
upset |  adj. 心烦的 // vt. 加厚,推翻,扰乱 // vi. 推翻 // n. 推翻,混乱
tedious |  adj. 沉闷的, 单调乏味的
sinister |  adj. 不吉利的, 凶恶的, 左边的
sophisticated |  adj. 复杂的；精致的；久经世故的；富有经验的 // v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
maximum |  n. 极点, 最大量, 极大 // adj. 最高的, 最大极限的
inflammable |  adj. 易燃的, 易怒的 // n. 易燃物
convenience |  n. 适宜，便利, 便利设施，方便的时间，舒适
sensitive |  adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的  // n. 敏感的人
lava |  n. 熔岩, 火山岩
avoid |  v. 避免 // vt. 避免,逃避
confusion |  n. 混乱,混淆,不确定状态
bulletin |  n. 公示,公报,新闻快报,期刊 // vt. 发表,用公告通知
hatch |  n. 孵化,舱口 // vt. 孵,孵出 // vi. 孵化，破壳
discourage |  vt. 使气馁,阻碍
commercial |  adj. 商业的 // n. 商业广告
cube |  n. 立方体,立方 // vt. 求...的立方 // adj. 立方的
sprawl |  vi. 蔓延；伸开手足躺；无计划地扩展 // vt. 懒散地伸开；使蔓生 // n. 蔓生；伸开手足躺卧姿势
organism |  n. 生物体, 有机体
pervious |  adj. 可渗透的，能接受的，能理解的
stance |  n. 立场；姿态；位置；准备击球姿势
dash |  n. 冲撞,破折号,少量,短跑,冲劲 // vt. 猛掷,泼溅,冲撞,匆忙 // vi. 猛冲,猛撞
accessory |  adj. 附属的(副的,辅助的) // n. 附件，同谋
hollow |  n. 洞, 窟窿, 山谷 // adj. 空的, 虚伪的, 空腹的 // vt. 形成空洞, 挖空 // vi. 形成空洞 // adv. 有闷哑声, 完全地
uneasy |  adj. 不自在的, 心神不安的, 不稳定的, 不舒服的
remarkable |  adj. 显著的, 异常的, 非凡的, 值得注意的
force |  n. 力量,武力,暴力,影响力 // vt. 施暴,强迫,强夺,加压力 // [计算机] 强制
illustrate |  vt. 举例说明,作图解 // vi. 举例
timber |  n. 木材,木料
artery |  n. 动脉, 主流, 干道
Arctic |  adj. 北极的,极寒的 // n. （首字母大写时）北极圈,北极地方
bedrock |  n. 岩床, 根底, 基础
Celsius |  adj. 摄氏的
changeable |  adj. 易变的，可改变的
chaotic |  adj. 混沌的；混乱的，无秩序的
climatologist |  n. 气象学家
concentrate |  vt.& vi.专心于； 注意； 集中； 聚集 // vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 // vi.凝缩，浓缩，提纯 // n.浓缩物 // adj.集中起来的，经过浓缩的
cracking |  n. 分裂, 分解 // adj. 很快的, 很好的, 很美的 // adv. 很快地, 很好地, 很美地
crust |  n. 外壳,坚硬的外壳,面包皮 // vt. 盖以硬皮 // vi. 结硬皮
crustal |  adj. 地壳的，外壳的
deformation |  n. 变形，畸形
detectable |  adj. 可发现的(可察觉的,可探测出的,可检波的)
distortion |  n. 扭曲, 变形, 曲解
drift |  n. 漂移,漂流物,观望,漂流,吹积物,趋势 // vi. 漂移,漂流,吹积 // vt. 使漂流,把...吹积
dynamics |  n. 力学,力量,力量变化
electrical |  adj. 电的,电气科学的
fabric |  n. 织物, 布, 结构
federal |  adj. 联邦的 // n. 同盟盟友
fluctuation |  n. 波动,起伏
foreshock |  n. （地震的）前震
freeze |  v. 冻结, 冷冻, 僵硬 // [计算机] 冻结
geological |  adj. 地质学的 // =geologic
geophysical |  adj. 地球物理学的
geophysicist |  n. 地球物理学者
glacier |  n. 冰河, 冰川
hydraulic |  adj. 水力的, 水压的
immobilize |  v. 使不能动 // vt. 使不动, 使固定
inconclusive |  adj. 非决定性,不确定的,不得要领的
landslide |  n. 山崩 // n. (竞选中)压倒多数的选票
micro |  adj. 微小的 // n. 微米(百万分之一, 测微计)
moisture |  n. 潮湿,湿气
monsoon |  n. 季节风,吹季节风的季节,雨季
observatory |  n. 天文台；气象台；瞭望台
partial |  adj. 部分的,偏袒的,偏爱的 // n. 泛音
penguin |  n. 企鹅
polar |  adj. 两极的,南辕北辙的,极地的 // n. 极线,极性
prediction |  n. 预言, 预报
psychiatry |  n. 精神病学
psychologist |  n. 心理学家
psychology |  n. 心理学
radioactive |  adj. 放射性的
